1,"(88.0, 82.0, 79.0)","[(0.11047619, (88.0, 82.0, 79.0)), (0.15722223, (243.0, 244.0, 247.0)), (0.06634921, (123.0, 117.0, 116.0)), (0.048650794, (159.0, 154.0, 154.0)), (0.047063492, (195.0, 195.0, 198.0))]"
2,"(92.0, 85.0, 81.0)","[(0.13198413, (92.0, 85.0, 81.0)), (0.13873015, (240.0, 242.0, 245.0)), (0.061904762, (124.0, 118.0, 114.0)), (0.041904762, (157.0, 154.0, 150.0)), (0.044603176, (196.0, 195.0, 195.0))]"
3,"(149.0, 162.0, 187.0)","[(0.07563492, (149.0, 162.0, 187.0)), (0.17222223, (61.0, 53.0, 47.0)), (0.13777778, (240.0, 239.0, 240.0)), (0.03047619, (172.0, 184.0, 206.0)), (0.06904762, (89.0, 78.0, 70.0))]"
4,"(133.0, 118.0, 103.0)","[(0.027539682, (133.0, 118.0, 103.0)), (0.12039682, (243.0, 241.0, 237.0)), (0.056825396, (142.0, 153.0, 175.0)), (0.019285714, (164.0, 150.0, 134.0)), (0.04309524, (98.0, 82.0, 69.0))]"
5,"(131.0, 118.0, 101.0)","[(0.03920635, (131.0, 118.0, 101.0)), (0.12, (242.0, 240.0, 235.0)), (0.05373016, (148.0, 157.0, 176.0)), (0.17095238, (68.0, 58.0, 49.0)), (0.02674603, (165.0, 152.0, 135.0))]"
6,"(91.0, 82.0, 73.0)","[(0.08650794, (91.0, 82.0, 73.0)), (0.13, (243.0, 242.0, 241.0)), (0.037539683, (128.0, 118.0, 109.0)), (0.033333335, (164.0, 155.0, 146.0)), (0.010396825, (157.0, 150.0, 132.0))]"
7,"(51.0, 48.0, 42.0)","[(0.22785714, (51.0, 48.0, 42.0)), (0.044761904, (147.0, 158.0, 178.0)), (0.055396825, (239.0, 240.0, 240.0)), (0.07484127, (87.0, 81.0, 73.0)), (0.38047618, (28.0, 26.0, 21.0))]"
8,"(185.0, 190.0, 198.0)","[(0.07666667, (185.0, 190.0, 198.0)), (0.0686508, (150.0, 158.0, 177.0)), (0.06420635, (95.0, 81.0, 62.0)), (0.1963492, (30.0, 25.0, 17.0)), (0.024285715, (160.0, 164.0, 170.0))]"
9,"(96.0, 79.0, 63.0)","[(0.07309524, (96.0, 79.0, 63.0)), (0.072142854, (150.0, 150.0, 159.0)), (0.11460318, (246.0, 243.0, 235.0)), (0.03920635, (133.0, 114.0, 93.0)), (0.08007936, (68.0, 54.0, 41.0))]"
10,"(54.0, 46.0, 42.0)","[(0.14539683, (54.0, 46.0, 42.0)), (0.05722222, (88.0, 77.0, 73.0)), (0.6471428, (38.0, 32.0, 27.0)), (0.02484127, (125.0, 111.0, 111.0)), (0.016349206, (160.0, 152.0, 159.0))]"
11,"(49.0, 48.0, 46.0)","[(0.1965873, (49.0, 48.0, 46.0)), (0.13555555, (224.0, 230.0, 238.0)), (0.08738095, (85.0, 83.0, 81.0)), (0.44626984, (29.0, 28.0, 24.0)), (0.04452381, (118.0, 117.0, 117.0))]"
12,"(125.0, 119.0, 114.0)","[(0.05531746, (125.0, 119.0, 114.0)), (0.14547619, (241.0, 242.0, 244.0)), (0.038809523, (159.0, 155.0, 149.0)), (0.113015875, (95.0, 87.0, 81.0)), (0.04920635, (192.0, 190.0, 186.0))]"
13,"(144.0, 156.0, 181.0)","[(0.065714285, (144.0, 156.0, 181.0)), (0.13674603, (59.0, 51.0, 43.0)), (0.10547619, (116.0, 126.0, 151.0)), (0.01904762, (176.0, 184.0, 205.0)), (0.05579365, (196.0, 195.0, 195.0))]"
14,"(98.0, 80.0, 63.0)","[(0.07833333, (98.0, 80.0, 63.0)), (0.08111111, (153.0, 154.0, 164.0)), (0.12404762, (245.0, 242.0, 236.0)), (0.04047619, (134.0, 114.0, 93.0)), (0.058412697, (72.0, 56.0, 43.0))]"
15,"(97.0, 81.0, 62.0)","[(0.082539685, (97.0, 81.0, 62.0)), (0.08357143, (155.0, 158.0, 168.0)), (0.1286508, (245.0, 242.0, 235.0)), (0.09587301, (69.0, 55.0, 41.0)), (0.04698413, (134.0, 114.0, 93.0))]"
