21,"(171.0, 166.0, 168.0)","[(0.34507936, (171.0, 166.0, 168.0)), (0.0831746, (87.0, 86.0, 94.0)), (0.21976191, (183.0, 177.0, 179.0)), (0.048809525, (124.0, 123.0, 129.0)), (0.005079365, (73.0, 78.0, 94.0))]"
22,"(187.0, 183.0, 186.0)","[(0.43349206, (187.0, 183.0, 186.0)), (0.07031746, (114.0, 110.0, 114.0)), (0.05904762, (46.0, 47.0, 55.0)), (0.1420635, (158.0, 157.0, 162.0)), (0.09198413, (95.0, 91.0, 96.0))]"
23,"(195.0, 191.0, 193.0)","[(0.42761904, (195.0, 191.0, 193.0)), (0.061904762, (42.0, 42.0, 49.0)), (5.5555557E-4, (79.0, 20.0, 34.0)), (0.13714285, (32.0, 31.0, 35.0)), (0.097222224, (82.0, 80.0, 87.0))]"
24,"(40.0, 41.0, 49.0)","[(0.062222224, (40.0, 41.0, 49.0)), (0.38539684, (188.0, 183.0, 185.0)), (0.121031746, (32.0, 32.0, 39.0)), (0.12484127, (90.0, 88.0, 92.0)), (0.26182538, (164.0, 160.0, 163.0))]"
25,"(187.0, 182.0, 185.0)","[(0.3727778, (187.0, 182.0, 185.0)), (0.07238095, (42.0, 43.0, 51.0)), (0.24396825, (166.0, 161.0, 164.0)), (0.09, (93.0, 90.0, 93.0)), (0.024126984, (110.0, 109.0, 114.0))]"
26,"(186.0, 181.0, 184.0)","[(0.3661111, (186.0, 181.0, 184.0)), (0.05531746, (48.0, 46.0, 53.0)), (0.0023015873, (80.0, 17.0, 33.0)), (0.30079365, (170.0, 166.0, 169.0)), (0.072142854, (32.0, 32.0, 39.0))]"
27,"(189.0, 182.0, 184.0)","[(0.34349206, (189.0, 182.0, 184.0)), (0.079920635, (116.0, 108.0, 112.0)), (0.07571428, (49.0, 49.0, 57.0)), (0.07015873, (95.0, 89.0, 92.0)), (0.1565873, (167.0, 162.0, 166.0))]"
28,"(41.0, 43.0, 53.0)","[(0.07626984, (41.0, 43.0, 53.0)), (0.07, (109.0, 108.0, 113.0)), (0.29, (186.0, 184.0, 187.0)), (0.07746032, (93.0, 92.0, 96.0)), (0.0057142857, (40.0, 42.0, 55.0))]"
29,"(92.0, 86.0, 78.0)","[(0.19373016, (92.0, 86.0, 78.0)), (0.5772222, (66.0, 60.0, 52.0)), (0.008730159, (129.0, 123.0, 117.0)), (0.007301587, (155.0, 151.0, 148.0)), (0.047380954, (180.0, 181.0, 176.0))]"
30,"(123.0, 116.0, 117.0)","[(0.20555556, (123.0, 116.0, 117.0)), (0.10634921, (238.0, 239.0, 247.0)), (0.22539683, (94.0, 86.0, 88.0)), (0.04111111, (153.0, 146.0, 147.0)), (0.033095237, (139.0, 152.0, 180.0))]"
31,"(80.0, 85.0, 103.0)","[(0.04420635, (80.0, 85.0, 103.0)), (0.09603175, (186.0, 185.0, 191.0)), (0.18865079, (61.0, 51.0, 48.0)), (0.3986508, (236.0, 237.0, 240.0)), (0.030634921, (83.0, 80.0, 86.0))]"
32,"(155.0, 147.0, 147.0)","[(0.05793651, (155.0, 147.0, 147.0)), (0.17960317, (61.0, 58.0, 66.0)), (0.26674604, (224.0, 223.0, 222.0)), (0.03706349, (78.0, 75.0, 82.0)), (0.050238095, (133.0, 125.0, 124.0))]"
33,"(61.0, 56.0, 61.0)","[(0.16150793, (61.0, 56.0, 61.0)), (0.056746032, (156.0, 148.0, 148.0)), (0.22968253, (225.0, 223.0, 222.0)), (0.032619048, (77.0, 73.0, 79.0)), (0.040396824, (133.0, 124.0, 121.0))]"
