1,"(138.0, 162.0, 131.0)","[(0.10428572, (138.0, 162.0, 131.0)), (0.30626985, (122.0, 124.0, 127.0)), (0.1347619, (147.0, 152.0, 148.0)), (0.18301587, (88.0, 86.0, 92.0)), (0.023650793, (140.0, 162.0, 143.0))]"
2,"(45.0, 51.0, 76.0)","[(0.04595238, (45.0, 51.0, 76.0)), (0.008888889, (156.0, 111.0, 117.0)), (0.0051587303, (181.0, 136.0, 140.0)), (0.004920635, (120.0, 76.0, 80.0)), (0.022539683, (64.0, 75.0, 101.0))]"
3,"(91.0, 84.0, 86.0)","[(0.22595239, (91.0, 84.0, 86.0)), (0.04301587, (45.0, 49.0, 71.0)), (0.2525397, (124.0, 117.0, 118.0)), (0.030555556, (73.0, 83.0, 112.0)), (0.034603175, (107.0, 116.0, 146.0))]"
4,"(43.0, 49.0, 70.0)","[(0.04309524, (43.0, 49.0, 70.0)), (0.013412698, (209.0, 180.0, 187.0)), (0.047222223, (99.0, 111.0, 146.0)), (0.0076190475, (114.0, 79.0, 82.0)), (0.010714286, (188.0, 151.0, 155.0))]"
5,"(39.0, 47.0, 67.0)","[(0.0715873, (39.0, 47.0, 67.0)), (0.31325397, (125.0, 119.0, 117.0)), (0.19285715, (87.0, 85.0, 88.0)), (0.22579364, (155.0, 147.0, 142.0)), (0.05579365, (53.0, 54.0, 60.0))]"
6,"(89.0, 87.0, 91.0)","[(0.19571428, (89.0, 87.0, 91.0)), (0.011190476, (173.0, 190.0, 153.0)), (0.31674603, (117.0, 114.0, 122.0)), (0.32515875, (148.0, 154.0, 159.0)), (0.026825396, (60.0, 63.0, 62.0))]"
7,"(27.0, 29.0, 46.0)","[(0.033650793, (27.0, 29.0, 46.0)), (0.18936507, (125.0, 118.0, 119.0)), (0.08095238, (194.0, 200.0, 197.0)), (0.059444446, (41.0, 44.0, 63.0)), (0.11071429, (155.0, 150.0, 148.0))]"
8,"(84.0, 82.0, 88.0)","[(0.42420635, (84.0, 82.0, 88.0)), (0.049761906, (45.0, 50.0, 76.0)), (0.045873016, (193.0, 194.0, 193.0)), (0.11396825, (56.0, 55.0, 61.0)), (0.16880952, (114.0, 113.0, 117.0))]"
9,"(43.0, 48.0, 69.0)","[(0.06507937, (43.0, 48.0, 69.0)), (0.16984127, (87.0, 85.0, 90.0)), (0.19222222, (115.0, 117.0, 118.0)), (0.08992063, (55.0, 52.0, 61.0)), (0.1711111, (152.0, 156.0, 154.0))]"
10,"(128.0, 116.0, 115.0)","[(0.12698413, (128.0, 116.0, 115.0)), (0.012380952, (228.0, 224.0, 222.0)), (0.043809526, (26.0, 28.0, 43.0)), (0.16642857, (92.0, 82.0, 82.0)), (0.06849206, (160.0, 150.0, 150.0))]"
11,"(161.0, 158.0, 129.0)","[(0.042936508, (161.0, 158.0, 129.0)), (8.7301584E-4, (155.0, 158.0, 102.0)), (0.028492063, (197.0, 194.0, 163.0)), (0.055555556, (123.0, 121.0, 96.0)), (0.10230159, (160.0, 156.0, 148.0))]"
12,"(194.0, 196.0, 192.0)","[(0.11809524, (194.0, 196.0, 192.0)), (0.07833333, (43.0, 49.0, 74.0)), (0.02984127, (192.0, 194.0, 165.0)), (0.11626984, (161.0, 161.0, 157.0)), (0.025793651, (162.0, 163.0, 136.0))]"
13,"(134.0, 107.0, 116.0)","[(0.016587302, (134.0, 107.0, 116.0)), (0.040396824, (77.0, 84.0, 110.0)), (0.076349206, (161.0, 156.0, 128.0)), (0.11603174, (53.0, 51.0, 56.0)), (0.00484127, (192.0, 193.0, 129.0))]"
14,"(128.0, 118.0, 120.0)","[(0.21444444, (128.0, 118.0, 120.0)), (0.078650795, (76.0, 78.0, 102.0)), (0.003968254, (164.0, 167.0, 115.0)), (0.21579365, (160.0, 149.0, 146.0)), (0.0734127, (91.0, 86.0, 95.0))]"
15,"(57.0, 63.0, 87.0)","[(0.07595238, (57.0, 63.0, 87.0)), (0.14190476, (165.0, 164.0, 133.0)), (0.05793651, (68.0, 74.0, 100.0)), (0.07206349, (187.0, 187.0, 153.0)), (0.048730157, (159.0, 168.0, 129.0))]"
16,"(55.0, 55.0, 64.0)","[(0.24047619, (55.0, 55.0, 64.0)), (0.087142855, (125.0, 121.0, 95.0)), (0.028571429, (53.0, 53.0, 70.0)), (0.10968254, (79.0, 78.0, 81.0)), (0.14761905, (117.0, 116.0, 112.0))]"
17,"(124.0, 122.0, 114.0)","[(0.1534127, (124.0, 122.0, 114.0)), (0.04984127, (47.0, 46.0, 64.0)), (0.13460317, (155.0, 151.0, 148.0)), (0.16563492, (48.0, 47.0, 55.0)), (0.046428572, (117.0, 116.0, 97.0))]"
18,"(161.0, 154.0, 156.0)","[(0.120238096, (161.0, 154.0, 156.0)), (0.2525397, (92.0, 86.0, 87.0)), (0.15952381, (239.0, 238.0, 245.0)), (0.2129365, (126.0, 118.0, 121.0)), (0.057857145, (194.0, 188.0, 194.0))]"
19,"(131.0, 118.0, 116.0)","[(0.12404762, (131.0, 118.0, 116.0)), (0.030634921, (160.0, 154.0, 121.0)), (0.18142857, (238.0, 240.0, 241.0)), (0.10873016, (160.0, 149.0, 145.0)), (0.04984127, (129.0, 123.0, 94.0))]"
20,"(59.0, 50.0, 42.0)","[(0.1845238, (59.0, 50.0, 42.0)), (0.09222222, (242.0, 239.0, 240.0)), (0.20349206, (59.0, 52.0, 34.0)), (0.067539684, (87.0, 79.0, 61.0)), (0.07714286, (86.0, 80.0, 71.0))]"
21,"(119.0, 112.0, 111.0)","[(0.3226984, (119.0, 112.0, 111.0)), (0.07388889, (117.0, 112.0, 89.0)), (0.26079366, (96.0, 90.0, 89.0)), (0.15603174, (57.0, 52.0, 48.0)), (0.120714284, (21.0, 20.0, 19.0))]"
22,"(240.0, 242.0, 245.0)","[(0.121984124, (240.0, 242.0, 245.0)), (0.17365079, (53.0, 50.0, 46.0)), (0.10047619, (30.0, 29.0, 32.0)), (0.06507937, (194.0, 196.0, 202.0)), (0.14142857, (82.0, 79.0, 74.0))]"
23,"(158.0, 155.0, 123.0)","[(0.04063492, (158.0, 155.0, 123.0)), (0.06515873, (127.0, 124.0, 96.0)), (0.15603174, (124.0, 118.0, 114.0)), (0.27253968, (90.0, 84.0, 83.0)), (0.040238094, (153.0, 148.0, 147.0))]"
24,"(84.0, 76.0, 74.0)","[(0.26079366, (84.0, 76.0, 74.0)), (0.2954762, (64.0, 57.0, 55.0)), (0.090793654, (88.0, 83.0, 62.0)), (0.063174605, (121.0, 119.0, 89.0)), (0.038650792, (62.0, 59.0, 40.0))]"
25,"(195.0, 194.0, 161.0)","[(0.03468254, (195.0, 194.0, 161.0)), (0.053174604, (161.0, 159.0, 127.0)), (0.051587302, (128.0, 127.0, 97.0)), (0.123571426, (154.0, 156.0, 149.0)), (0.007063492, (160.0, 166.0, 122.0))]"
26,"(202.0, 196.0, 156.0)","[(0.07277778, (202.0, 196.0, 156.0)), (0.09134921, (165.0, 160.0, 127.0)), (0.10515873, (150.0, 152.0, 146.0)), (0.14674602, (124.0, 123.0, 121.0)), (0.09476191, (131.0, 126.0, 96.0))]"
27,"(122.0, 119.0, 96.0)","[(0.14825396, (122.0, 119.0, 96.0)), (0.12444445, (165.0, 158.0, 156.0)), (0.0018253968, (157.0, 159.0, 107.0)), (0.07015873, (164.0, 159.0, 128.0)), (0.04, (195.0, 191.0, 157.0))]"
28,"(121.0, 115.0, 90.0)","[(0.10468254, (121.0, 115.0, 90.0)), (0.056507938, (155.0, 156.0, 151.0)), (0.1434127, (96.0, 90.0, 66.0)), (0.061428573, (122.0, 116.0, 108.0)), (0.10309524, (93.0, 86.0, 79.0))]"
29,"(92.0, 86.0, 55.0)","[(0.16896826, (92.0, 86.0, 55.0)), (0.091031745, (238.0, 237.0, 231.0)), (0.057142857, (117.0, 114.0, 82.0)), (0.012142858, (121.0, 111.0, 61.0)), (0.27412698, (66.0, 58.0, 33.0))]"
30,"(92.0, 86.0, 85.0)","[(0.26761904, (92.0, 86.0, 85.0)), (0.11849207, (119.0, 116.0, 90.0)), (0.0028571428, (199.0, 195.0, 174.0)), (0.19349207, (94.0, 90.0, 65.0)), (0.16373016, (118.0, 112.0, 108.0))]"
31,"(193.0, 194.0, 167.0)","[(0.013888889, (193.0, 194.0, 167.0)), (0.16960317, (76.0, 85.0, 81.0)), (0.017301587, (52.0, 60.0, 59.0)), (0.3315873, (107.0, 116.0, 112.0)), (0.019444445, (164.0, 167.0, 137.0))]"
32,"(87.0, 86.0, 57.0)","[(0.21269841, (87.0, 86.0, 57.0)), (0.075238094, (155.0, 154.0, 149.0)), (0.061904762, (118.0, 118.0, 89.0)), (0.08261905, (122.0, 120.0, 116.0)), (0.01, (152.0, 153.0, 128.0))]"
