1,"(123.0, 122.0, 91.0)","[(0.09626984, (123.0, 122.0, 91.0)), (0.03134921, (147.0, 148.0, 119.0)), (0.13738096, (90.0, 89.0, 57.0)), (0.1734127, (120.0, 120.0, 115.0)), (0.011746032, (141.0, 150.0, 110.0))]"
2,"(152.0, 155.0, 91.0)","[(0.07079365, (152.0, 155.0, 91.0)), (0.13825397, (123.0, 121.0, 86.0)), (0.110873014, (124.0, 127.0, 65.0)), (0.083809525, (154.0, 153.0, 116.0)), (0.032301586, (123.0, 122.0, 70.0))]"
3,"(121.0, 120.0, 86.0)","[(0.14595237, (121.0, 120.0, 86.0)), (0.07174603, (154.0, 155.0, 120.0)), (0.107857145, (92.0, 91.0, 60.0)), (0.03722222, (125.0, 124.0, 73.0)), (0.03277778, (124.0, 126.0, 72.0))]"
4,"(86.0, 85.0, 56.0)","[(0.22825398, (86.0, 85.0, 56.0)), (0.093095236, (243.0, 238.0, 242.0)), (0.009920635, (117.0, 120.0, 64.0)), (0.06968254, (60.0, 60.0, 34.0)), (0.121984124, (90.0, 82.0, 81.0))]"
5,"(85.0, 84.0, 53.0)","[(0.23325397, (85.0, 84.0, 53.0)), (0.082539685, (243.0, 238.0, 242.0)), (0.017777778, (87.0, 90.0, 38.0)), (0.11642857, (59.0, 59.0, 31.0)), (0.099603176, (90.0, 83.0, 80.0))]"
6,"(89.0, 84.0, 56.0)","[(0.20198412, (89.0, 84.0, 56.0)), (0.0022222223, (227.0, 182.0, 159.0)), (0.02484127, (126.0, 114.0, 84.0)), (0.0052380953, (221.0, 191.0, 162.0)), (0.14595237, (67.0, 60.0, 33.0))]"
7,"(84.0, 84.0, 53.0)","[(0.19865079, (84.0, 84.0, 53.0)), (0.0013492063, (224.0, 183.0, 153.0)), (0.076587304, (241.0, 239.0, 239.0)), (0.15404762, (58.0, 59.0, 33.0)), (0.045, (80.0, 86.0, 46.0))]"
8,"(57.0, 58.0, 36.0)","[(0.18015873, (57.0, 58.0, 36.0)), (0.016825397, (154.0, 110.0, 94.0)), (0.10039683, (246.0, 243.0, 241.0)), (0.12492064, (59.0, 54.0, 48.0)), (0.027698413, (117.0, 77.0, 63.0))]"
9,"(57.0, 58.0, 38.0)","[(0.19373016, (57.0, 58.0, 38.0)), (0.10761905, (246.0, 243.0, 243.0)), (0.20571429, (58.0, 55.0, 49.0)), (0.17150794, (82.0, 78.0, 74.0)), (0.078095235, (77.0, 77.0, 54.0))]"
10,"(58.0, 53.0, 49.0)","[(0.17666666, (58.0, 53.0, 49.0)), (0.010238095, (150.0, 107.0, 95.0)), (0.06404762, (83.0, 80.0, 56.0)), (0.11785714, (241.0, 235.0, 236.0)), (0.15333334, (86.0, 78.0, 76.0))]"
11,"(110.0, 73.0, 63.0)","[(0.010952381, (110.0, 73.0, 63.0)), (0.117698416, (86.0, 82.0, 76.0)), (0.122301586, (245.0, 245.0, 244.0)), (0.0107936505, (84.0, 50.0, 42.0)), (0.0046825395, (140.0, 104.0, 91.0))]"
12,"(54.0, 55.0, 36.0)","[(0.22944444, (54.0, 55.0, 36.0)), (0.109365076, (249.0, 248.0, 247.0)), (0.26666668, (55.0, 55.0, 47.0)), (0.14214286, (81.0, 80.0, 73.0)), (0.025396826, (78.0, 77.0, 58.0))]"
13,"(248.0, 248.0, 247.0)","[(0.10666667, (248.0, 248.0, 247.0)), (0.051507935, (120.0, 118.0, 113.0)), (0.028095238, (196.0, 195.0, 193.0)), (0.027619047, (160.0, 158.0, 155.0)), (0.15698412, (90.0, 88.0, 82.0))]"
14,"(56.0, 58.0, 33.0)","[(0.29666665, (56.0, 58.0, 33.0)), (0.2620635, (79.0, 81.0, 53.0)), (0.063174605, (81.0, 87.0, 46.0)), (0.113809526, (56.0, 55.0, 46.0)), (0.11587302, (81.0, 79.0, 70.0))]"
15,"(121.0, 115.0, 109.0)","[(0.15634921, (121.0, 115.0, 109.0)), (0.115317464, (97.0, 91.0, 90.0)), (0.14190476, (125.0, 122.0, 97.0)), (0.14190476, (153.0, 154.0, 150.0)), (0.06373016, (153.0, 151.0, 122.0))]"
16,"(83.0, 83.0, 58.0)","[(0.1965873, (83.0, 83.0, 58.0)), (0.0681746, (247.0, 244.0, 244.0)), (0.06515873, (59.0, 59.0, 38.0)), (0.13095239, (83.0, 81.0, 72.0)), (0.10468254, (116.0, 114.0, 82.0))]"
17,"(88.0, 90.0, 62.0)","[(0.23698413, (88.0, 90.0, 62.0)), (0.044603176, (240.0, 239.0, 242.0)), (0.11809524, (116.0, 117.0, 82.0)), (0.18611111, (85.0, 86.0, 76.0)), (0.028650794, (116.0, 122.0, 79.0))]"
18,"(88.0, 89.0, 64.0)","[(0.18285714, (88.0, 89.0, 64.0)), (0.10333333, (247.0, 245.0, 248.0)), (0.24960317, (87.0, 84.0, 82.0)), (0.13277778, (116.0, 117.0, 86.0)), (0.083333336, (117.0, 112.0, 114.0))]"
19,"(116.0, 116.0, 86.0)","[(0.13904762, (116.0, 116.0, 86.0)), (0.16753969, (89.0, 89.0, 65.0)), (0.05293651, (243.0, 242.0, 245.0)), (0.21690476, (86.0, 85.0, 77.0)), (0.033174604, (129.0, 127.0, 76.0))]"
20,"(86.0, 87.0, 63.0)","[(0.25785714, (86.0, 87.0, 63.0)), (0.0037301588, (108.0, 114.0, 59.0)), (0.20777778, (86.0, 83.0, 78.0)), (0.051031746, (112.0, 112.0, 85.0)), (0.12507936, (119.0, 114.0, 113.0))]"
21,"(119.0, 116.0, 87.0)","[(0.07388889, (119.0, 116.0, 87.0)), (0.12690476, (244.0, 242.0, 248.0)), (4.7619047E-4, (116.0, 118.0, 69.0)), (0.11420635, (117.0, 112.0, 114.0)), (0.2323016, (92.0, 89.0, 88.0))]"
22,"(118.0, 118.0, 91.0)","[(0.09396826, (118.0, 118.0, 91.0)), (0.13111112, (119.0, 116.0, 116.0)), (0.33626986, (93.0, 90.0, 88.0)), (0.19238095, (93.0, 93.0, 71.0)), (0.008333334, (152.0, 149.0, 116.0))]"
23,"(121.0, 121.0, 94.0)","[(0.11365079, (121.0, 121.0, 94.0)), (0.022857143, (194.0, 189.0, 193.0)), (0.16865079, (116.0, 115.0, 114.0)), (0.013809524, (157.0, 154.0, 124.0)), (0.022857143, (236.0, 234.0, 241.0))]"
24,"(88.0, 87.0, 64.0)","[(0.15468255, (88.0, 87.0, 64.0)), (0.025396826, (220.0, 203.0, 198.0)), (0.28126985, (84.0, 83.0, 80.0)), (0.17333333, (118.0, 117.0, 88.0)), (0.108571425, (114.0, 112.0, 109.0))]"
25,"(88.0, 85.0, 54.0)","[(0.14380953, (88.0, 85.0, 54.0)), (0.0013492063, (106.0, 109.0, 52.0)), (0.32182539, (59.0, 57.0, 36.0)), (0.24111111, (54.0, 52.0, 46.0)), (0.008571428, (119.0, 112.0, 79.0))]"
26,"(121.0, 121.0, 97.0)","[(0.09857143, (121.0, 121.0, 97.0)), (0.004047619, (148.0, 151.0, 101.0)), (0.2168254, (119.0, 115.0, 116.0)), (0.30801588, (93.0, 90.0, 90.0)), (0.014761905, (153.0, 153.0, 122.0))]"
27,"(120.0, 119.0, 91.0)","[(0.2097619, (120.0, 119.0, 91.0)), (0.14793651, (122.0, 117.0, 117.0)), (0.08619048, (161.0, 154.0, 158.0)), (0.05079365, (154.0, 150.0, 118.0)), (0.15095238, (95.0, 95.0, 69.0))]"
28,"(121.0, 121.0, 91.0)","[(0.13492064, (121.0, 121.0, 91.0)), (0.003968254, (149.0, 151.0, 100.0)), (0.07904762, (246.0, 244.0, 246.0)), (0.023650793, (150.0, 150.0, 113.0)), (0.12579365, (120.0, 116.0, 114.0))]"
